Campus,Curso,Periodo_dia,Horario,Semestre,Dia,Periodo_Aula,Tipo_Curso,Materia,Professor,Observacao,Semestre_Curso
MIRASOL,EAQ,MANHA,1.0,1.0,SEGUNDA,MATUTINO,INTEGRAL MT,INTRODUCAO A AQUICULTURA,LAGREZE,,1_EAQ
MIRASOL,EAQ,MANHA,2.0,1.0,SEGUNDA,MATUTINO,INTEGRAL MT,INTRODUCAO A AQUICULTURA,LAGREZE,,1_EAQ
MIRASOL,EAQ,MANHA,3.0,1.0,SEGUNDA,MATUTINO,INTEGRAL MT,PROBABILIDADE,CENDON,,1_EAQ
MIRASOL,EAQ,MANHA,4.0,1.0,SEGUNDA,MATUTINO,INTEGRAL MT,PROBABILIDADE,CENDON,,1_EAQ
MIRASOL,EAQ,MANHA,1.0,1.0,TERCA,MATUTINO,INTEGRAL MT,INTRODUCAO A QUALIDADE,SACHSIDA,,1_EAQ
MIRASOL,EAQ,MANHA,2.0,1.0,TERCA,MATUTINO,INTEGRAL MT,INTRODUCAO A QUALIDADE,RODOLFO,,1_EAQ
MIRASOL,EAQ,MANHA,3.0,1.0,TERCA,MATUTINO,INTEGRAL MT,GEOMETRIA ANALITICA,LUCIANA,,1_EAQ
MIRASOL,EAQ,MANHA,4.0,1.0,TERCA,MATUTINO,INTEGRAL MT,GEOMETRIA ANALITICA,LUCIANA,,1_EAQ
MIRASOL,EAQ,MANHA,1.0,1.0,QUARTA,MATUTINO,INTEGRAL MT,PROJETOS ENG I,DANIELA,,1_EAQ
MIRASOL,EAQ,MANHA,2.0,1.0,QUARTA,MATUTINO,INTEGRAL MT,PROJETOS ENG I,DANIELA,,1_EAQ
MIRASOL,EAQ,MANHA,3.0,1.0,QUARTA,MATUTINO,INTEGRAL MT,PROJETOS ENG II,DANIELA,,1_EAQ
MIRASOL,EAQ,MANHA,4.0,1.0,QUARTA,MATUTINO,INTEGRAL MT,PROJETOS ENG II,DANIELA,,1_EAQ
MIRASOL,EAQ,MANHA,1.0,1.0,QUINTA,MATUTINO,INTEGRAL MT,AQUICULTURA ORNAMENTAL E AQUARISM,FABIANO,,1_EAQ
MIRASOL,EAQ,MANHA,2.0,1.0,QUINTA,MATUTINO,INTEGRAL MT,AQUICULTURA ORNAMENTAL E AQUARISM,FABIANO,,1_EAQ
MIRASOL,EAQ,MANHA,3.0,1.0,QUINTA,MATUTINO,INTEGRAL MT,AQUICULTURA ORNAMENTAL E AQUARISM,FABIANO,,1_EAQ
MIRASOL,EAQ,MANHA,4.0,1.0,QUINTA,MATUTINO,INTEGRAL MT,AQUICULTURA ORNAMENTAL E AQUARISM,FABIANO,,1_EAQ
MIRASOL,EAQ,MANHA,1.0,1.0,SEXTA,MATUTINO,INTEGRAL MT,INTRODUCAO A EXTENSAO,BELZ,,1_EAQ
MIRASOL,EAQ,MANHA,2.0,1.0,SEXTA,MATUTINO,INTEGRAL MT,INTRODUCAO A EXTENSAO,BELZ,,1_EAQ
MIRASOL,EAQ,MANHA,3.0,1.0,SEXTA,MATUTINO,INTEGRAL MT,COMPUTACAO I,SELMA,,1_EAQ
MIRASOL,EAQ,MANHA,4.0,1.0,SEXTA,MATUTINO,INTEGRAL MT,COMPUTACAO I,SELMA,,1_EAQ
MIRASOL,EAQ,MANHA,1.0,3.0,SEGUNDA,MATUTINO,INTEGRAL MT,NUTRICAO,SACHSIDA,,3_EAQ
MIRASOL,EAQ,MANHA,2.0,3.0,SEGUNDA,MATUTINO,INTEGRAL MT,NUTRICAO,SACHSIDA,,3_EAQ
MIRASOL,EAQ,MANHA,3.0,3.0,SEGUNDA,MATUTINO,INTEGRAL MT,NUTRICAO,SACHSIDA,,3_EAQ
MIRASOL,EAQ,MANHA,4.0,3.0,SEGUNDA,MATUTINO,INTEGRAL MT,NUTRICAO,SACHSIDA,,3_EAQ
MIRASOL,EAQ,MANHA,1.0,3.0,TERCA,MATUTINO,INTEGRAL MT,ESTATISTICA,SANDRINI,,3_EAQ
MIRASOL,EAQ,MANHA,2.0,3.0,TERCA,MATUTINO,INTEGRAL MT,ESTATISTICA,SANDRINI,,3_EAQ
MIRASOL,EAQ,MANHA,3.0,3.0,TERCA,MATUTINO,INTEGRAL MT,GENETICA,RODOLFO,,3_EAQ
MIRASOL,EAQ,MANHA,4.0,3.0,TERCA,MATUTINO,INTEGRAL MT,GENETICA,RODOLFO,,3_EAQ
MIRASOL,EAQ,TARDE,1.0,3.0,TERCA,VESPERTINO,INTEGRAL MT,ALGAS NOCIVAS E TOXINASOPT,MAFRA,OPTATIVA,3_EAQ
MIRASOL,EAQ,TARDE,2.0,3.0,TERCA,VESPERTINO,INTEGRAL MT,ALGAS NOCIVAS E TOXINASOPT,MAFRA,OPTATIVA,3_EAQ
MIRASOL,EAQ,TARDE,3.0,3.0,TERCA,VESPERTINO,INTEGRAL MT,ALGAS NOCIVAS E TOXINASOPT,MAFRA,OPTATIVA,3_EAQ
MIRASOL,EAQ,TARDE,4.0,3.0,TERCA,VESPERTINO,INTEGRAL MT,ALGAS NOCIVAS E TOXINASOPT,MAFRA,OPTATIVA,3_EAQ
MIRASOL,EAQ,MANHA,1.0,3.0,QUARTA,MATUTINO,INTEGRAL MT,CALCULO DIFERENCIAL,RAFAELLA,,3_EAQ
MIRASOL,EAQ,MANHA,2.0,3.0,QUARTA,MATUTINO,INTEGRAL MT,CALCULO DIFERENCIAL,RAFAELLA,,3_EAQ
MIRASOL,EAQ,MANHA,3.0,3.0,QUARTA,MATUTINO,INTEGRAL MT,CALCULO DIFERENCIAL,RAFAELLA,,3_EAQ
MIRASOL,EAQ,MANHA,4.0,3.0,QUARTA,MATUTINO,INTEGRAL MT,CALCULO DIFERENCIAL,RAFAELLA,,3_EAQ
MIRASOL,EAQ,MANHA,1.0,3.0,QUINTA,MATUTINO,INTEGRAL MT,FISICA GERAL,VIRNEI,,3_EAQ
